Type of SLM Activity,Latitude,Longitude
Silt Trap,-21.327413,29.0275009
Silt Trap,-21.3374541,29.0961136
Silt Trap,-21.3373572,29.0961337
Silt Trap,-21.3375287,29.0957947
Silt Trap,-21.3374444,29.0960694
Silt Trap,-21.337406,29.096077
Silt Trap,-21.3370655,29.0963248
Silt Trap,-21.3368093,29.0965988
Silt Trap,-21.3370126,29.0972787
Silt Trap,-21.3371301,29.0974163
Silt Trap,-21.3371137,29.0974259
Silt Trap,-21.3370921,29.0975954
Silt Trap,-21.3371024,29.0975945
Silt Trap,-21.3368717,29.0975944
Silt Trap,-21.3290425,29.0201509
Silt Trap,-21.3020181,28.9851143
Silt Trap,-21.2854855,29.0105836
Silt Trap,-21.2855229,29.0105388
Silt Trap,-21.2855936,29.0105331
Silt Trap,-21.2854989,29.0106041
Silt Trap,-21.2728772,29.0540477
Silt Trap,-21.2725993,29.0542091
Silt Trap,-21.2723553,29.0542536
Silt Trap,-21.2719506,29.0540838
Silt Trap,-21.2717213,29.0540641
Silt Trap,-21.4420224,29.0438337
Silt Trap,-21.4420559,29.043677
Silt Trap,-21.4420616,29.043665
Silt Trap,-21.4174642,28.9869015
Silt Trap,-21.4175578,28.9866554
Silt Trap,-21.4421654,29.0437581
Silt Trap,-21.4416858,29.0433423
Silt Trap,-21.4415989,29.0436846
Silt Trap,-21.2958227,29.0558135
Silt Trap,-21.2959461,29.0558503
Silt Trap,-21.2961436,29.0557404
Silt Trap,-21.2965072,29.055747
Silt Trap,-21.2968116,29.0553365
Silt Trap,-21.342091,28.9701339
Silt Trap,-21.3420969,28.9711268
Silt Trap,-21.3419942,28.9717659
Silt Trap,-21.3420299,28.971907
Silt Trap,-21.3420065,28.9719389
Silt Trap,-21.3420043,28.9720196
Silt Trap,-21.3420114,28.972207
Silt Trap,-21.341936,28.972488
Silt Trap,-21.3419501,28.9725263
Silt Trap,-21.3432004,28.9719675
Silt Trap,-21.3432,28.9719749
Silt Trap,-21.3550741,28.9630816
Silt Trap,-21.3420354,28.9710115
Silt Trap,-21.3419382,28.9712684
Silt Trap,-21.3418209,28.9712231
Silt Trap,-21.3419238,28.9717379
Silt Trap,-21.3419275,28.9717177
Silt Trap,-21.3417563,28.9721034
Silt Trap,-21.3419174,28.9721106
Silt Trap,-21.3419408,28.9722485
Silt Trap,-21.3418893,28.9723547
Silt Trap,-21.3434867,28.9718267
Silt Trap,-21.343689,28.971285
Silt Trap,-21.4163978,28.9564517
Silt Trap,-21.4162121,28.9564777
Silt Trap,-21.4162409,28.9564527
Silt Trap,-21.4161629,28.956558
Silt Trap,-21.430609,28.979046
Silt Trap,-21.430872,28.979185
Silt Trap,-21.420897,28.990398
Silt Trap,-21.421426,28.990095
Silt Trap,-21.421575,28.990022
Silt Trap,-21.2935998,29.0201261
Silt Trap,-21.2835523,29.0193402
Silt Trap,-21.2835504,29.0193359
Silt Trap,-21.2849978,29.0203424
Silt Trap,-21.2850034,29.0203391
Silt Trap,-21.2850777,29.0220193
Silt Trap,-21.2850777,29.0220193
Silt Trap,-21.285005,29.0217246
Silt Trap,-21.2850041,29.0203387
Silt Trap,-21.2851339,29.021885
Silt Trap,-21.2851339,29.021885
Silt Trap,-21.2851551,29.0222054
Silt Trap,-21.2852876,29.0221031
Silt Trap,-21.3021851,28.9846896
Silt Trap,-21.2852047,29.0218786
Silt Trap,-21.3020929,28.9848973
Silt Trap,-21.3021467,28.9849113
Silt Trap,-21.3021924,28.9849015
Silt Trap,-21.3021924,28.9849015
Silt Trap,-21.30189,28.9844618
Silt Trap,-21.3014967,28.9841687
Silt Trap,-21.3014821,28.9842184
Silt Trap,-21.3014225,28.9841328
Silt Trap,-21.333935,28.9822492
Silt Trap,-21.3018337,28.9837622
Silt Trap,-21.322902,28.9827768
Silt Trap,-21.3134115,28.9822124
Silt Trap,-21.3229146,28.9827678
Silt Trap,-21.3228981,28.9828085
Silt Trap,-21.3015836,28.9838705
Silt Trap,-21.3229706,28.9827309
Silt Trap,-21.322964,28.9827433
Silt Trap,-21.3229126,28.9827521
Silt Trap,-21.3014861,28.9838737
