Type of SLM Activity,Latitude,Longitude
Stone Bund,-21.2664109,29.0537935
Stone Bund,-21.3600002,28.9660551
Stone Bund,-21.327061,29.0269678
Stone Bund,-21.3269205,29.0267142
Stone Bund,-21.2850775,29.0106146
Stone Bund,-21.2852502,29.0108548
Stone Bund,-21.2854448,29.0106145
Stone Bund,-21.2854958,29.0106287
Stone Bund,-21.3182048,29.0868941
Stone Bund,-21.3597926,28.9654468
Stone Bund,-21.2608261,29.038405
Stone Bund,-21.2606587,29.0385391
Stone Bund,-21.2625094,29.0420446
Stone Bund,-21.2623988,29.0419191
Stone Bund,-21.2962376,29.0557773
Stone Bund,-21.3419628,28.9706904
Stone Bund,-21.3420268,28.9714621
Stone Bund,-21.3420684,28.9703583
Stone Bund,-21.3420487,28.9712492
Stone Bund,-21.4166721,28.9595768
Stone Bund,-21.3402201,29.112502
Stone Bund,-21.3392138,29.099277
Stone Bund,-21.430316,28.979206
Stone Bund,-21.3021987,28.9847753
Stone Bund,-21.3021691,29.9848573
Stone Bund,-21.3021785,28.9848712
Stone Bund,-21.3021819,28.9848804
Stone Bund,-21.3018795,28.9848007
Stone Bund,-21.3228944,28.9828064
Stone Bund,-21.301876,28.9847621
Stone Bund,-21.282354,28.997838
Stone Bund,-21.283069,28.9995766
Stone Bund,-21.2832529,28.9992739
Stone Bund,-21.3228055,28.982754
Stone Bund,-21.3130187,28.9824845
Stone Bund,-21.3135285,28.9816398
Stone Bund,-2.3229053,28.9827797
Stone Bund,-21.3227601,28.9826302
Stone Bund,-21.3229277,28.9827612
Stone Bund,-21.3229053,28.9827797
Stone Bund,-21.2832851,28.9994254
Stone Bund,-21.3229068,28.9827754
Stone Bund,-21.3133746,28.982049
Stone Bund,-21.3229597,28.9827423
Stone Bund,-21.3229035,28.9827768
Stone Bund,-21.2828169,28.9996227
