Type of SLM Activity,Latitude,Longitude
Dead Level Contour,-21.3434599,28.9720586
Dead Level Contour,-21.3412885,28.9764875
Dead Level Contour,-21.3411236,28.9769226
Dead Level Contour,-21.3407249,28.9771705
Dead Level Contour,-21.3403772,28.9771199
Dead Level Contour,-21.3399659,28.9771432
Dead Level Contour,-21.343136,28.9704412
Dead Level Contour,-21.3429099,28.9704171
Dead Level Contour,-21.3433058,28.9684784
Dead Level Contour,-21.3436683,28.9691289
Dead Level Contour,-21.3428237,28.9708083
Dead Level Contour,-21.3430841,28.9686135
Dead Level Contour,-21.2850026,29.0203401
