"start";"end";"Type of SLM Activity";"Height.";"Height.";"Height.";"Height.";"Length";"Width.";"Width.";"Width.";"Width.";"Area Restored";"Area Improved";"Coordinate";"_Coordinate_latitude";"_Coordinate_longitude";"_Coordinate_altitude";"_Coordinate_precision";"Comments";"Name";"PES Funded";"Remark";"Height.";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2024-07-08T19:38:28.486+02:00";"2024-07-08T19:39:04.758+02:00";"Stone Bund";"";"4";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"357407913";"ec79cb8f-1936-4fbb-90a4-8ff1def3d774";"2024-07-08T17:39:05";"";"";"submitted_via_web";"limcom_2023";"voPdeGJXhGAS2KQMY8g97L";"";"1"
"2024-07-09T12:38:08.619+02:00";"2024-07-12T11:24:50.161+02:00";"Stone Bund";"";"1";"";"";"4";"";"1";"";"";"";"";"-21.2664109 29.0537935 900.1912841796875 4.9";"-21.2664109";"29.0537935";"900.1912841796875";"4.9";"Village";"Nhlamba under Mpisi";"No";"";"";"358962502";"d6919310-82e5-4e6a-981e-8ed5d6097266";"2024-07-12T09:24:59";"";"";"submitted_via_web";"";"v38ENX5RvJA6YaxnNRiHWW";"";"2"
"2024-07-09T14:46:11.278+02:00";"2024-07-09T14:51:22.594+02:00";"Silt Trap";"";"";"";"1";"2";"";"";"";"";"";"";"-21.327413 29.0275009 822.767822265625 4.645";"-21.327413";"29.0275009";"822.767822265625";"4.645";"Village";"Bhalula";"No";"";"";"368356183";"f7e1a998-80ff-4c3d-819a-fc654630fe09";"2024-08-07T10:14:56";"";"";"submitted_via_web";"";"v38ENX5RvJA6YaxnNRiHWW";"";"3"
"2024-07-11T11:43:18.117+02:00";"2024-07-11T11:47:43.195+02:00";"Silt Trap";"";"";"";"0.4m";"2.6m";"";"";"";"";"";"";"-21.3374541 29.0961136 832.6990966796875 4.556";"-21.3374541";"29.0961136";"832.6990966796875";"4.556";"Village";"Samlodi village";"No";"";"";"368356188";"e88cbaa2-67c0-4551-b795-134279837514";"2024-08-07T10:14:57";"";"";"submitted_via_web";"";"vdJn8xYXgjdjzkd2TZwViS";"";"4"
"2024-07-11T11:51:32.398+02:00";"2024-07-11T11:53:51.373+02:00";"Silt Trap";"";"";"";"0.26m";"3.65m";"";"";"";"";"";"";"-21.3373572 29.0961337 835.09130859375 4.288";"-21.3373572";"29.0961337";"835.09130859375";"4.288";"Village";"Samlodi village";"No";"";"";"368356191";"5195476f-9a55-4b78-8c3a-0e7ce9aa367e";"2024-08-07T10:14:57";"";"";"submitted_via_web";"";"vdJn8xYXgjdjzkd2TZwViS";"";"5"
"2024-09-17T12:15:18.013+02:00";"2024-09-17T12:20:21.741+02:00";"Stone Bund";"";"30cm";"";"";"3m
wdth 60cm";"";"";"";"";"";"";"-21.3600002 28.9660551 798.881 3.9";"-21.3600002";"28.9660551";"798.881";"3.9";"Village";"Sibangani grp";"No";"doing well";"";"384508783";"3a97fdac-018f-4c05-a41c-f21202fe147c";"2024-09-17T10:20:40";"";"";"submitted_via_web";"";"vZvwSTDpA7hbm9fBcfAUCC";"";"6"
"2024-09-17T10:43:07.199+02:00";"2024-09-17T10:47:23.477+02:00";"Silt Trap";"";"";"";"0.64";"4.53";"";"";"1.15";"";"";"";"-21.3375287 29.0957947 830.945556640625 4.824";"-21.3375287";"29.0957947";"830.945556640625";"4.824";"Village";"Ntanye";"No";"";"";"384885623";"c2bee413-3190-4334-904d-46956c503d4f";"2024-09-18T07:32:07";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"7"
"2024-09-17T10:47:54.811+02:00";"2024-09-17T10:50:37.366+02:00";"Silt Trap";"";"";"";"0.32";"3.68";"";"";"0.74";"";"";"";"-21.3374444 29.0960694 835.563720703125 4.716";"-21.3374444";"29.0960694";"835.563720703125";"4.716";"Village";"Ntanye";"No";"";"";"384885640";"ecbeca03-4d48-4b14-b689-299ceedd86d4";"2024-09-18T07:32:09";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"8"
"2024-09-17T10:50:46.587+02:00";"2024-09-17T10:52:57.136+02:00";"Silt Trap";"";"";"";"0.23";"4.75";"";"";"0.76";"";"";"";"-21.337406 29.096077 833.6710205078125 4.288";"-21.337406";"29.096077";"833.6710205078125";"4.288";"Village";"Ntanye";"No";"";"";"384885652";"1bb463c4-f947-4198-a729-913eb78f6726";"2024-09-18T07:32:09";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"9"
"2024-09-17T10:53:12.836+02:00";"2024-09-17T10:56:18.141+02:00";"Silt Trap";"";"";"";"0.19";"5.5";"";"";"0.6";"";"";"";"-21.3370655 29.0963248 834.997802734375 4.288";"-21.3370655";"29.0963248";"834.997802734375";"4.288";"Village";"Ntanye";"No";"";"";"384885656";"76d778d4-3935-469f-9668-9f129e3682c6";"2024-09-18T07:32:10";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"10"
"2024-09-17T10:57:04.242+02:00";"2024-09-17T10:59:13.869+02:00";"Silt Trap";"";"";"";"0.24";"2.30";"";"";"0.52";"";"";"";"-21.3368093 29.0965988 842.144775390625 4.824";"-21.3368093";"29.0965988";"842.144775390625";"4.824";"Village";"Ntanye";"No";"";"";"384885667";"bcb2afa6-ba7d-4868-8fc2-15edb15c9411";"2024-09-18T07:32:11";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"11"
"2024-09-17T10:59:48.792+02:00";"2024-09-17T11:02:23.185+02:00";"Silt Trap";"";"";"";"0.32";"2.46";"";"";"0.61";"";"";"";"-21.3370126 29.0972787 834.473876953125 4.716";"-21.3370126";"29.0972787";"834.473876953125";"4.716";"Village";"Ntanye";"No";"";"";"384885684";"acfe6078-2758-4835-a33f-b4a10021113e";"2024-09-18T07:32:12";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"12"
"2024-09-17T11:02:46.235+02:00";"2024-09-17T11:04:05.703+02:00";"Silt Trap";"";"";"";"0.15";"1.63";"";"";"0.42";"";"";"";"-21.3371301 29.0974163 846.500732421875 4.824";"-21.3371301";"29.0974163";"846.500732421875";"4.824";"Village";"Ntanye";"No";"";"";"384885690";"e0324ab6-66bc-479a-9bb8-757f12f55455";"2024-09-18T07:32:13";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"13"
"2024-09-17T11:04:57.213+02:00";"2024-09-17T11:06:11.715+02:00";"Silt Trap";"";"";"";"0.4";"1.32";"";"";"0.49";"";"";"";"-21.3371137 29.0974259 848.0208740234375 4.824";"-21.3371137";"29.0974259";"848.0208740234375";"4.824";"Village";"Ntanye";"No";"";"";"384885695";"acf58f90-df59-4b29-be22-dc5c11dff8f5";"2024-09-18T07:32:13";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"14"
"2024-09-17T11:07:08.689+02:00";"2024-09-17T11:08:33.873+02:00";"Silt Trap";"";"";"";"0.31";"2.05";"";"";"1.60";"";"";"";"-21.3370921 29.0975954 834.6295166015625 4.288";"-21.3370921";"29.0975954";"834.6295166015625";"4.288";"Village";"Ntanye";"No";"";"";"384885703";"86e5bf1e-21d9-4c3a-b3ac-8370f3866a54";"2024-09-18T07:32:14";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"15"
"2024-09-17T11:08:54.915+02:00";"2024-09-17T11:10:18.929+02:00";"Silt Trap";"";"";"";"0.23";"1.99";"";"";"0.6";"";"";"";"-21.3371024 29.0975945 835.1961669921875 4.824";"-21.3371024";"29.0975945";"835.1961669921875";"4.824";"Village";"Ntanye";"No";"";"";"384885712";"557740b7-a8a9-4930-9b9b-bbdd21378b7c";"2024-09-18T07:32:15";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"16"
"2024-09-17T11:10:58.262+02:00";"2024-09-17T11:12:30.717+02:00";"Silt Trap";"";"";"";"0.2";"2.93";"";"";"1.64";"";"";"";"-21.3368717 29.0975944 840.9808349609375 4.931";"-21.3368717";"29.0975944";"840.9808349609375";"4.931";"Village";"Ntanye";"No";"";"";"384885717";"01bd23d8-e1be-404f-a1a5-fba5a6a7776e";"2024-09-18T07:32:15";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"17"
"2024-07-17T10:05:00.128+02:00";"2024-07-17T10:13:18.811+02:00";"Silt Trap";"";"";"";"12cm";"610cm";"";"";"210cm";"";"";"";"-21.3290425 29.0201509 842.017 0.99";"-21.3290425";"29.0201509";"842.017";"0.99";"Village";"BHALULA";"No";"PAYE VILLAGE 
Done by 7 people for road recovering ";"";"384885725";"92a6eed8-d0b6-40e7-9eda-cb57b0adc297";"2024-09-18T07:32:16";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"18"
"2024-07-24T10:16:27.235+02:00";"2024-07-24T10:20:08.098+02:00";"Stone Bund";"";"73cm";"";"";"360cm";"";"";"";"";"";"";"-21.327061 29.0269678 818.426 1.881";"-21.327061";"29.0269678";"818.426";"1.881";"Other";"Village line BHALULA ";"No";"Done by 10 people 
";"";"384885844";"9a337788-fc22-41e2-9d6f-266ef743135f";"2024-09-18T07:32:26";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"19"
"2024-07-24T10:22:13.678+02:00";"2024-07-24T10:25:05.709+02:00";"Stone Bund";"";"67cm";"";"";"333cm";"";"";"";"";"";"";"-21.3269205 29.0267142 833.086 1.005";"-21.3269205";"29.0267142";"833.086";"1.005";"Other";"Village line BHALULA ";"No";"Done by 10 people ";"";"384885852";"3ec71f91-a27d-4c94-abfc-9499d7cd2ec0";"2024-09-18T07:32:27";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"20"
"2024-07-31T08:59:06.390+02:00";"2024-07-31T09:01:52.331+02:00";"Silt Trap";"";"";"";"54cm";"487";"";"";"56cm";"";"";"";"-21.3020181 28.9851143 787.79 0.932";"-21.3020181";"28.9851143";"787.79";"0.932";"Other";"Community ";"No";"Done by 6 people ";"";"384885867";"091737d7-bc10-424d-a8d3-537999e1607a";"2024-09-18T07:32:28";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"21"
"2024-09-04T14:35:45.056+02:00";"2024-09-04T14:39:35.846+02:00";"Stone Bund";"";"55cm";"";"";"279cm";"";"";"";"";"";"";"-21.2850775 29.0106146 852.834 1.214";"-21.2850775";"29.0106146";"852.834";"1.214";"Other";"Line";"No";"Done by line ";"";"384885881";"986b3af3-7828-49fc-9f19-531d769bb4e7";"2024-09-18T07:32:29";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"22"
"2024-09-04T14:39:46.211+02:00";"2024-09-04T14:43:22.936+02:00";"Stone Bund";"";"61cm";"";"";"289cm";"";"";"";"";"";"";"-21.2852502 29.0108548 912.028 1.217";"-21.2852502";"29.0108548";"912.028";"1.217";"Village";"PAYE salubeni line ";"No";"Done by one line ";"";"384885902";"8b83c99a-b628-436e-b39a-066bc42bb48b";"2024-09-18T07:32:31";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"23"
"2024-09-04T14:43:34.853+02:00";"2024-09-04T14:47:59.593+02:00";"Gabion";"";"";"";"";"209cm";"148cm";"50cm";"";"";"";"";"-21.2854448 29.0106145 834.26 1.557";"-21.2854448";"29.0106145";"834.26";"1.557";"Village";"PAYE salubeni line ";"No";"Done by line ";"";"384885918";"bf996943-ff95-4ef7-892c-882a6aac9096";"2024-09-18T07:32:33";"";"";"submitted_via_web";"";"vthh9xMfwkLAwLCMRq7Tr3";"";"24"
