"Type of SLM Activity";"Coordinate";"_Coordinate_latitude";"_Coordinate_longitude";"_Coordinate_altitude";"_Coordinate_precision";"_uuid"
"Stone Bund";"";"";"";"";"";"ec79cb8f-1936-4fbb-90a4-8ff1def3d774"
"Stone Bund";"-21.2664109 29.0537935 900.1912841796875 4.9";"-21.2664109";"29.0537935";"900.1912841796875";"4.9";"d6919310-82e5-4e6a-981e-8ed5d6097266"
"Silt Trap";"-21.327413 29.0275009 822.767822265625 4.645";"-21.327413";"29.0275009";"822.767822265625";"4.645";"f7e1a998-80ff-4c3d-819a-fc654630fe09"
"Silt Trap";"-21.3374541 29.0961136 832.6990966796875 4.556";"-21.3374541";"29.0961136";"832.6990966796875";"4.556";"e88cbaa2-67c0-4551-b795-134279837514"
"Silt Trap";"-21.3373572 29.0961337 835.09130859375 4.288";"-21.3373572";"29.0961337";"835.09130859375";"4.288";"5195476f-9a55-4b78-8c3a-0e7ce9aa367e"
"Stone Bund";"-21.3600002 28.9660551 798.881 3.9";"-21.3600002";"28.9660551";"798.881";"3.9";"3a97fdac-018f-4c05-a41c-f21202fe147c"
"Silt Trap";"-21.3375287 29.0957947 830.945556640625 4.824";"-21.3375287";"29.0957947";"830.945556640625";"4.824";"c2bee413-3190-4334-904d-46956c503d4f"
"Silt Trap";"-21.3374444 29.0960694 835.563720703125 4.716";"-21.3374444";"29.0960694";"835.563720703125";"4.716";"ecbeca03-4d48-4b14-b689-299ceedd86d4"
"Silt Trap";"-21.337406 29.096077 833.6710205078125 4.288";"-21.337406";"29.096077";"833.6710205078125";"4.288";"1bb463c4-f947-4198-a729-913eb78f6726"
"Silt Trap";"-21.3370655 29.0963248 834.997802734375 4.288";"-21.3370655";"29.0963248";"834.997802734375";"4.288";"76d778d4-3935-469f-9668-9f129e3682c6"
"Silt Trap";"-21.3368093 29.0965988 842.144775390625 4.824";"-21.3368093";"29.0965988";"842.144775390625";"4.824";"bcb2afa6-ba7d-4868-8fc2-15edb15c9411"
"Silt Trap";"-21.3370126 29.0972787 834.473876953125 4.716";"-21.3370126";"29.0972787";"834.473876953125";"4.716";"acfe6078-2758-4835-a33f-b4a10021113e"
"Silt Trap";"-21.3371301 29.0974163 846.500732421875 4.824";"-21.3371301";"29.0974163";"846.500732421875";"4.824";"e0324ab6-66bc-479a-9bb8-757f12f55455"
"Silt Trap";"-21.3371137 29.0974259 848.0208740234375 4.824";"-21.3371137";"29.0974259";"848.0208740234375";"4.824";"acf58f90-df59-4b29-be22-dc5c11dff8f5"
"Silt Trap";"-21.3370921 29.0975954 834.6295166015625 4.288";"-21.3370921";"29.0975954";"834.6295166015625";"4.288";"86e5bf1e-21d9-4c3a-b3ac-8370f3866a54"
"Silt Trap";"-21.3371024 29.0975945 835.1961669921875 4.824";"-21.3371024";"29.0975945";"835.1961669921875";"4.824";"557740b7-a8a9-4930-9b9b-bbdd21378b7c"
"Silt Trap";"-21.3368717 29.0975944 840.9808349609375 4.931";"-21.3368717";"29.0975944";"840.9808349609375";"4.931";"01bd23d8-e1be-404f-a1a5-fba5a6a7776e"
"Silt Trap";"-21.3290425 29.0201509 842.017 0.99";"-21.3290425";"29.0201509";"842.017";"0.99";"92a6eed8-d0b6-40e7-9eda-cb57b0adc297"
"Stone Bund";"-21.327061 29.0269678 818.426 1.881";"-21.327061";"29.0269678";"818.426";"1.881";"9a337788-fc22-41e2-9d6f-266ef743135f"
"Stone Bund";"-21.3269205 29.0267142 833.086 1.005";"-21.3269205";"29.0267142";"833.086";"1.005";"3ec71f91-a27d-4c94-abfc-9499d7cd2ec0"
"Silt Trap";"-21.3020181 28.9851143 787.79 0.932";"-21.3020181";"28.9851143";"787.79";"0.932";"091737d7-bc10-424d-a8d3-537999e1607a"
"Stone Bund";"-21.2850775 29.0106146 852.834 1.214";"-21.2850775";"29.0106146";"852.834";"1.214";"986b3af3-7828-49fc-9f19-531d769bb4e7"
"Stone Bund";"-21.2852502 29.0108548 912.028 1.217";"-21.2852502";"29.0108548";"912.028";"1.217";"8b83c99a-b628-436e-b39a-066bc42bb48b"
"Gabion";"-21.2854448 29.0106145 834.26 1.557";"-21.2854448";"29.0106145";"834.26";"1.557";"bf996943-ff95-4ef7-892c-882a6aac9096"
"Stone Bund";"-21.2854958 29.0106287 835.178 1.546";"-21.2854958";"29.0106287";"835.178";"1.546";"9974ebb9-75a4-4ece-88f7-d3a14dea3bf4"
"Silt Trap";"-21.2854855 29.0105836 840.981 1.537";"-21.2854855";"29.0105836";"840.981";"1.537";"1f1f535f-28a7-4bba-b2f1-723508c2f0d1"
"Silt Trap";"-21.2855229 29.0105388 842.747 1.613";"-21.2855229";"29.0105388";"842.747";"1.613";"3874ddbd-da10-4c55-9918-dd8fb3a815c8"
"Silt Trap";"-21.2855936 29.0105331 844.111 1.438";"-21.2855936";"29.0105331";"844.111";"1.438";"5066d5cd-196a-4de1-a155-0f31fd5e19c9"
"Silt Trap";"-21.2854989 29.0106041 840.966 1.304";"-21.2854989";"29.0106041";"840.966";"1.304";"de08ff32-d737-4f04-a014-b819d7bc95e9"
"Dead Level Contour";"";"";"";"";"";"36bf88ed-0b1f-4b1d-86c6-6b4478e60015"
"Stone Bund";"";"";"";"";"";"bd29cca1-a04a-4d6c-b31d-d99125f74703"
"Stone Bund";"-21.3182048 29.0868941 849.337646484375 4.824";"-21.3182048";"29.0868941";"849.337646484375";"4.824";"04ea2a41-143f-4603-bb7f-49cd6eb172bd"
"Stone Bund";"";"";"";"";"";"02cd3732-4da8-4719-a3ef-7cb1dd85b54b"
"Stone Bund";"";"";"";"";"";"8a5c287e-53af-4035-8f38-a50850ff57e5"
"Stone Bund";"";"";"";"";"";"2e1f81a2-87d9-4283-9f8e-e4dcd283eb2e"
